net,length_um
net508,220.85
clknet_4_9__leaf_clk,220.24
arr.b00\[6\],219.56
arr.b01\[2\],219.42
_01769_,219.16
net159,219.14
net263,219.06
_02106_,219.02
_02153_,218.95
_01850_,217.74
net546,216.92
_01940_,216.165
_02170_,214.8
_02112_,214.34
arr.b01\[6\],213.72
_02258_,213.46
net535,212.11
_01767_,211.97
_02163_,211.9
arr.b23\[4\],210.46
net529,209.94
_02140_,209.18
arr.a20\[4\],209.06
_02168_,208.55
arr.a11\[1\],207.94
arr.a10\[7\],206.46
net214,205.98
_01420_,205.6
arr.a11\[6\],205.42
arr.a10\[6\],204.24
arr.a10\[0\],204.235
arr.a20\[6\],204.18
net327,203.74
net42,203.58
_02176_,203.06
arr.b23\[3\],202.62
net523,201.36
_02151_,201.135
arr.a20\[2\],200.38
arr.a10\[2\],200.14
arr.b00\[5\],199.3
_02320_,198.98
_01787_,198.89
arr.a11\[7\],198.46
arr.b00\[2\],198.42
_01939_,198.38
arr.a10\[4\],198.3
arr.a10\[5\],197.84
net115,197.54
arr.b12\[6\],197.07
net277,197
net241,196.94
_02278_,196.93
net365,196.86
arr.a11\[4\],196.01
arr.a11\[2\],194.42
arr.a20\[7\],194.14
net486,193.91
net473,192.82
_02315_,192.7
_01821_,192.18
net312,192.02
arr.b12\[2\],191.46
arr.a10\[1\],191.32
arr.a11\[3\],191.18
_02122_,190.52
_02123_,190.12
net353,188.48
arr.a20\[3\],187.99
arr.a3\[2\],187.78
net403,187.44
arr.a11\[0\],186.52
arr.b02\[2\],185.62
net113,184.86
net86,184.58
net168,184.4
net140,183.6
arr.b23\[0\],182.91
arr.a11\[5\],182.56
_01937_,182.455
arr.a20\[1\],182.44
_07941_,182.24
net253,181.3
_02156_,181.14
net429,181.08
_02108_,180.57
net160,179.16
net185,179.08
net502,179.02
arr.a01\[5\],177.15
net488,176.22
_02164_,175.955
_08338_,175.34
_02115_,174.88
arr.b11\[0\],174.87
arr.b01\[4\],174.32
arr.b00\[3\],173.66
_02105_,173.49
_02252_,173.38
arr.b0\[0\],173
arr.b01\[3\],172.98
net72,171
arr.b3\[7\],170.2
net492,170.02
net422,169.48
_01759_,169.26
arr.b01\[5\],169.2
net498,168.67
arr.a01\[6\],168.56
_02154_,167.275
arr.a3\[4\],167.17
_02100_,166.7
net211,166.66
net302,166.46
net323,166.18
arr.b10\[6\],165.96
arr.b02\[0\],165.945
arr.b12\[7\],165.94
arr.a3\[0\],165.08
arr.a01\[1\],164.94
_02143_,164.12
net191,163.86
arr.b01\[1\],163.595
_01975_,163
arr.b02\[1\],162.595
arr.a00\[2\],162.56
_02162_,162.32
_02124_,162.26
arr.b12\[4\],162.09
net78,161.26
net489,161.14
_02104_,161.08
arr.a20\[0\],160.93
_02283_,160.87
arr.a30\[6\],160.815
arr.a01\[7\],160.805
_02359_,160.31
arr.a00\[0\],159.315
_02121_,159.22
arr.a3\[5\],158.985
_02135_,158.84
net553,158.79
arr.a01\[4\],158.34
arr.b12\[0\],157.45
_02145_,157.42
arr.a01\[0\],156.6
_02184_,156.49
_02146_,156.26
_01748_,156.2
net477,155.94
net514,155.68
arr.a30\[0\],155.19
net181,155.13
arr.b03\[6\],154.54
_02120_,154.21
_02183_,153.84
net119,153.74
arr.b12\[1\],153.58
arr.b3\[6\],153.46
arr.b10\[7\],153.14
_02126_,153
_02317_,152.78
arr.b12\[3\],152.54
arr.a21\[1\],152.1
net398,152
net157,151.8
net446,151.66
_05528_,151.31
arr.b0\[3\],150.55
clknet_leaf_23_clk,149.88
_01775_,149.28
_01831_,148.125
_02118_,147.06
arr.a3\[3\],146.52
_04389_,146.5
_04815_,146.245
net10,145.77
net386,145.74
arr.a30\[7\],145.62
_05193_,145.315
net420,143.96
arr.b00\[4\],143.88
net290,143.77
_02080_,143.42
arr.b0\[2\],142.97
_06348_,142.64
_02167_,142.435
_04776_,142.41
_02130_,142.3
_02281_,142.01
_02280_,141.91
arr.b00\[1\],141.5
_02109_,140.6
_03609_,140.425
_07518_,139.64
_02364_,139.38
_02107_,139.37
_01984_,138.86
_02136_,138.54
net252,138.28
net75,137.98
_01994_,137.88
arr.b03\[7\],137.36
net382,136.98
_02152_,136.73
_02125_,136.42
arr.a00\[3\],136.42
clknet_leaf_132_clk,136.42
arr.a00\[1\],136.32
_02091_,136.24
net550,135.65
_02234_,135.64
_02131_,135.56
arr.b02\[7\],135.42
